Item,Index,Name,ChargeType,AutoTrigger,AutoUpdateActive,SummonSkill,SuppressReadyPulse,IsPermanent,UsesCustomCharge
BagpipeSpear,0,1,1,0,1,0,
BagpipeSpear,1,2,1,1,1,0,
BagpipeSpear,2,3,1,0,1,0,
ChenSword,0,1,2,0,0,0,
KroosCrossbow,0,1,2,1,1,0,
KroosAlterCrossbow,0,1,2,0,1,0,
KroosAlterCrossbow,1,2,1,0,1,0,
ExusiaiVector,0,1,2,1,1,0,
ExusiaiVector,1,2,1,0,1,0,
ExusiaiVector,2,3,1,1,1,0,
AdnachielCrossbow,0,1,1,0,1,0,
BeagleWeapon,0,1,1,0,1,0,
PozemkaCrossbow,0,1,2,1,0,1,
PozemkaCrossbow,1,2,1,0,1,1,
PozemkaCrossbow,2,3,1,0,1,1,
Lava_Dagger,0,1,1,0,1,0,
Shirayuki_Shuriken,0,1,1,0,1,0,
Shirayuki_Shuriken,1,2,1,0,1,0,
ThornsWeapon,0,1,1,0,1,0,
ThornsWeapon,1,2,1,0,1,0,
ThornsWeapon,2,3,2,0,1,0,
SilverAshWeapon,0,1,2,1,1,0,
SilverAshWeapon,1,2,1,0,1,0,
SilverAshWeapon,2,3,1,0,1,0,
ChenSword_Item,0,1,2,1,1,0,
ChenSword_Item,1,2,2,0,1,0,
ChenSword_Item,2,3,2,0,1,0,
NianWeapon,0,1,1,0,1,0,
NianWeapon,1,2,1,0,1,0,
NianWeapon,2,3,1,0,1,0,
SchwarzBow,0,1,2,1,1,0,
SchwarzBow,1,2,1,0,1,0,
SchwarzBow,2,3,1,0,1,0,
TyphonBow,0,1,1,0,1,0,
TyphonBow,1,2,1,0,1,0,
TyphonBow,2,3,1,0,1,0,
HazeMagicBook,0,1,1,0,1,0,
HazeMagicBook,1,2,1,0,1,0,
SurtrLaevatain,0,1,0,1,1,0,
SurtrLaevatain,1,2,1,0,1,0,
SurtrLaevatain,2,3,1,0,1,0,
ValarqvinWeapon,0,1,1,1,1,0,
ValarqvinWeapon,1,2,1,0,1,0,
DN_Weapon,0,1,1,0,1,0,
DN_Weapon,1,2,3,0,1,0,
DeepcolorSketch,0,1,1,0,1,0,
DeepcolorSketch,1,2,1,0,1,0,
SaintBell,0,1,1,0,0,0,1
SaintBell,1,2,1,0,0,0,
SaintBell,2,3,1,0,1,0,
StewardStaff,0,1,2,0,0,0,
SkadisGreatsword,0,1,1,0,1,0,
SkadisGreatsword,1,2,1,0,1,0,
SkadisGreatsword,2,3,1,0,1,0,
GoldenglowWand,0,1,1,0,1,0,
GoldenglowWand,1,2,1,0,0,0,
GoldenglowWand,2,3,1,0,1,0,
MelanthasSword,0,1,1,0,1,0,
VanillaAxe,0,1,1,0,1,0,
PlumePike,0,1,1,0,1,0,
HongdouLance,0,1,1,0,1,0,
HongdouLance,1,2,1,0,1,0,
BeanstalkOrb,0,1,1,0,1,0,
BeanstalkOrb,1,2,1,0,1,0,
JessicaGun,0,1,1,0,0,0,
JessicaGun,1,2,1,0,1,0,
MeteorBow,0,1,1,0,0,0,
MeteorBow,1,2,1,0,0,0,
DobermannWhip,0,1,2,0,0,0,
DobermannWhip,1,2,1,0,1,0,
MataimaruGlaive,0,1,1,0,0,0,
MataimaruGlaive,1,2,1,0,1,0,
FrostleafAxe,0,1,2,0,0,0,
FrostleafAxe,1,2,1,0,1,0,
EstelleGlove,0,1,1,0,1,0,
EstelleGlove,1,2,1,0,1,0,
RopeClaw,0,1,1,0,0,0,
RopeClaw,1,2,1,0,0,0,
MousseGlove,0,1,2,0,0,0,
MousseGlove,1,2,1,0,1,0,
GravelDualBlades,0,1,1,1,1,0,
GravelDualBlades,1,2,1,1,1,0,
BeehunterBag,0,1,1,0,1,0,
BeehunterBag,1,2,1,0,1,0,
EarthspiritWand,0,1,1,0,1,0,
EarthspiritWand,1,2,2,0,1,0,
ShawAxe,0,1,1,0,0,0,
ShawAxe,1,2,1,0,0,0,
SceneCamera,0,1,1,0,0,0,
SceneCamera,1,2,1,0,0,0,
EntelechiaScythe,0,1,1,0,0,0,
EntelechiaScythe,1,2,1,0,1,0,
EntelechiaScythe,2,3,1,0,1,0,
ClosureScanGun,0,1,1,1,1,0,
ClosureScanGun,1,2,1,0,1,0,
ClosureScanGun,2,3,1,0,1,0,
CardiWeapon,0,1,1,0,1,0,
CuoraWeapon,0,1,1,0,1,0,
CuoraWeapon,1,2,1,0,1,0,
Tragodia,0,1,2,1,1,0,
Tragodia,1,2,1,0,1,0,
Tragodia,2,3,1,0,1,0,
HellagurOdachi,0,1,2,1,0,0,1,0,0
HellagurOdachi,1,2,1,0,0,0,0,0,0
HellagurOdachi,2,3,1,0,0,0,0,0,0
BlazeGreatsword,0,1,2,1,0,0,1,0,0
BlazeGreatsword,1,2,1,1,0,0,1,1,1
BlazeGreatsword,2,3,1,0,0,0,0,0,0
FiammettaHandCannon,0,1,2,0,1,0,0,0,0
FiammettaHandCannon,1,2,2,0,0,0,0,0,0
FiammettaHandCannon,2,3,2,0,0,0,0,1,0
SpecterBoneSaw,0,1,1,0,0,0,0,0,0
SpecterBoneSaw,1,2,1,0,0,0,0,0,0
ShiningStaff,0,1,1,0,1,0,0,0,0
ShiningStaff,1,2,1,1,1,0,1,0,0
ShiningStaff,2,3,1,0,1,0,0,0,0
PassengerConductor,0,1,1,1,0,0,1,0,0
PassengerConductor,1,2,1,0,1,0,0,0,0
PassengerConductor,2,3,1,0,0,0,0,0,0
LeiziStaff,0,1,1,0,1,0,0,0,0
LeiziStaff,1,2,1,0,1,0,0,0,0
UtageKatana,0,1,1,0,1,0,0,0,0
UtageKatana,1,2,1,0,1,0,0,0,0
RedDagger,0,1,1,0,0,0,0,0,1
RedDagger,1,2,1,0,0,0,0,0,1
HoolheyakWindArts,0,1,1,1,0,0,1,0,0
HoolheyakWindArts,1,2,1,0,1,0,0,0,0
HoolheyakWindArts,2,3,1,0,1,0,0,0,0
SussurroStaff,0,1,1,0,1,0,0,0,0
SussurroStaff,1,2,1,0,1,0,0,0,0
EbenholzStaff,0,1,1,0,1,0,0,0,0
EbenholzStaff,1,2,1,1,0,0,1,0,0
EbenholzStaff,2,3,1,0,1,0,0,0,0
EthanYoyo,0,1,0,0,0,0,1,1,1
EthanYoyo,1,2,1,0,1,0,0,0,0
HornGrenadeLauncher,0,1,1,1,0,0,1,0,0
HornGrenadeLauncher,1,2,1,0,0,0,0,0,0
HornGrenadeLauncher,2,3,1,0,1,0,0,0,0
AstraSword,0,1,1,0,1,0,0,0,0
AstraSword,1,2,1,0,1,0,0,0,0
WarfarinStaff,0,1,1,0,1,0,0,0,0
WarfarinStaff,1,2,1,0,1,0,0,0,0
IndigoStaff,0,1,1,0,1,0,0,0,0
IndigoStaff,1,2,1,0,1,0,0,0,0
HarmonieStaff,0,1,1,0,1,0,0,0,0
HarmonieStaff,1,2,1,0,1,0,0,0,0
