1	120
2	172
3	224
4	276
5	328
6	380
7	432
8	484
9	536
10	588
11	640
12	692
13	744
14	796
15	848
16	900
17	952
18	1004
19	1056
20	1108
21	1160
22	1212
23	1264
24	1316
25	1368
26	1420
27	1472
28	1524
29	1576
30	1628
31	1706
32	1784
33	1862
34	1940
35	2018
36	2096
37	2174
38	2252
39	2330
40	2408
41	2584
42	2760
43	2936
44	3112
45	3288
46	3464
47	3640
48	3816
49	3992
50	4168
51	4344
52	4520
53	4696
54	4890
55	5326
56	6019
57	6312
58	6505
59	6838
60	7391
61	7657
62	7823
63	8089
64	8355
65	8621
66	8887
67	9153
68	9419
69	9605
70	9951
71	10448
72	10945
73	11442
74	11939
75	12436
76	12933
77	13430
78	13927
79	14549
80	¡ª
