1	191
2	303
3	415
4	527
5	639
6	751
7	863
8	975
9	1087
10	1199
11	1311
12	1423
13	1535
14	1647
15	1759
16	1871
17	1983
18	2095
19	2207
20	2319
21	2431
22	2543
23	2655
24	2767
25	2879
26	2991
27	3103
28	3215
29	3327
30	3439
31	3602
32	3765
33	3928
34	4091
35	4254
36	4417
37	4580
38	4743
39	4906
40	5069
41	5232
42	5395
43	5558
44	5721
45	5884
46	6047
47	6210
48	6373
49	6536
50	6699
51	6902
52	7105
53	7308
54	7511
55	7714
56	7917
57	8120
58	8323
59	8526
60	8729
61	9163
62	9597
63	10031
64	10465
65	10899
66	11333
67	11767
68	12201
69	12729
70	13069
71	13747
72	14425
73	15103
74	15781
75	16459
76	17137
77	17815
78	18493
79	19171
80	19849
81	21105
82	22361
83	23617
84	24873
85	26129
86	27385
87	28641
88	29897
89	31143
90	¡ª
